PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"32457494","Kawasaki disease: pathophysiology and insights from mouse models","Noval Rivas M, Arditi M.","Nat Rev Rheumatol. 2020 Jul;16(7):391-405. doi: 10.1038/s41584-020-0426-0. Epub 2020 May 26.","Noval Rivas M","Nat Rev Rheumatol","2020","2020/05/28","PMC7250272","","10.1038/s41584-020-0426-0"
"26892968","MicroRNA Regulation of Atherosclerosis","Feinberg MW, Moore KJ.","Circ Res. 2016 Feb 19;118(4):703-20. doi: 10.1161/CIRCRESAHA.115.306300.","Feinberg MW","Circ Res","2016","2016/02/20","PMC4762069","NIHMS753671","10.1161/CIRCRESAHA.115.306300"
"30787203","MALAT1/miR-15b-5p/MAPK1 mediates endothelial progenitor cells autophagy and affects coronary atherosclerotic heart disease via mTOR signaling pathway","Zhu Y, Yang T, Duan J, Mu N, Zhang T.","Aging (Albany NY). 2019 Feb 21;11(4):1089-1109. doi: 10.18632/aging.101766.","Zhu Y","Aging (Albany NY)","2019","2019/02/22","PMC6402525","","10.18632/aging.101766"
"32575472","MicroRNA and ROS Crosstalk in Cardiac and Pulmonary Diseases","Climent M, Viggiani G, Chen YW, Coulis G, Castaldi A.","Int J Mol Sci. 2020 Jun 19;21(12):4370. doi: 10.3390/ijms21124370.","Climent M","Int J Mol Sci","2020","2020/06/25","PMC7352701","","10.3390/ijms21124370"
"31443660","Transcriptome sequencing of lncRNA, miRNA, mRNA and interaction network constructing in coronary heart disease","Liao J, Wang J, Liu Y, Li J, Duan L.","BMC Med Genomics. 2019 Aug 23;12(1):124. doi: 10.1186/s12920-019-0570-z.","Liao J","BMC Med Genomics","2019","2019/08/25","PMC6708182","","10.1186/s12920-019-0570-z"
"33481059","Vascular pathologies in chronic kidney disease: pathophysiological mechanisms and novel therapeutic approaches","Düsing P, Zietzer A, Goody PR, Hosen MR, Kurts C, Nickenig G, Jansen F.","J Mol Med (Berl). 2021 Mar;99(3):335-348. doi: 10.1007/s00109-021-02037-7. Epub 2021 Jan 22.","Düsing P","J Mol Med (Berl)","2021","2021/01/22","PMC7900031","","10.1007/s00109-021-02037-7"
"35778763","Exosomal microRNAs in diabetic heart disease","Chandrasekera D, Katare R.","Cardiovasc Diabetol. 2022 Jul 1;21(1):122. doi: 10.1186/s12933-022-01544-2.","Chandrasekera D","Cardiovasc Diabetol","2022","2022/07/01","PMC9250231","","10.1186/s12933-022-01544-2"
"31948131","Oxidative Stress-Responsive MicroRNAs in Heart Injury","Kura B, Szeiffova Bacova B, Kalocayova B, Sykora M, Slezak J.","Int J Mol Sci. 2020 Jan 5;21(1):358. doi: 10.3390/ijms21010358.","Kura B","Int J Mol Sci","2020","2020/01/18","PMC6981696","","10.3390/ijms21010358"
"30079603","The interplay of LncRNA ANRIL and miR-181b on the inflammation-relevant coronary artery disease through mediating NF-κB signalling pathway","Guo F, Tang C, Li Y, Liu Y, Lv P, Wang W, Mu Y.","J Cell Mol Med. 2018 Oct;22(10):5062-5075. doi: 10.1111/jcmm.13790. Epub 2018 Aug 5.","Guo F","J Cell Mol Med","2018","2018/08/07","PMC6156284","","10.1111/jcmm.13790"
"34552562","Association of Pericardiac Adipose Tissue With Coronary Artery Disease","Li M, Qi L, Li Y, Zhang S, Lin L, Zhou L, Han W, Qu X, Cai J, Ye M, Shi K.","Front Endocrinol (Lausanne). 2021 Sep 6;12:724859. doi: 10.3389/fendo.2021.724859. eCollection 2021.","Li M","Front Endocrinol (Lausanne)","2021","2021/09/23","PMC8451419","","10.3389/fendo.2021.724859"
"32977454","Circulating microRNA as a Biomarker for Coronary Artery Disease","Fazmin IT, Achercouk Z, Edling CE, Said A, Jeevaratnam K.","Biomolecules. 2020 Sep 23;10(10):1354. doi: 10.3390/biom10101354.","Fazmin IT","Biomolecules","2020","2020/09/26","PMC7598281","","10.3390/biom10101354"
"33562440","The Role of the ATP-Binding Cassette A1 (ABCA1) in Human Disease","Jacobo-Albavera L, Domínguez-Pérez M, Medina-Leyte DJ, González-Garrido A, Villarreal-Molina T.","Int J Mol Sci. 2021 Feb 5;22(4):1593. doi: 10.3390/ijms22041593.","Jacobo-Albavera L","Int J Mol Sci","2021","2021/02/10","PMC7915494","","10.3390/ijms22041593"
"33536383","MicroRNA-320b Modulates Cholesterol Efflux and Atherosclerosis","Lu X, Yang B, Yang H, Wang L, Li H, Chen S, Lu X, Gu D.","J Atheroscler Thromb. 2022 Feb 1;29(2):200-220. doi: 10.5551/jat.57125. Epub 2021 Feb 3.","Lu X","J Atheroscler Thromb","2022","2021/02/04","PMC8803562","","10.5551/jat.57125"
"32597702","Reduced Platelet miR-223 Induction in Kawasaki Disease Leads to Severe Coronary Artery Pathology Through a miR-223/PDGFRβ Vascular Smooth Muscle Cell Axis","Zhang Y, Wang Y, Zhang L, Xia L, Zheng M, Zeng Z, Liu Y, Yarovinsky T, Ostriker AC, Fan X, Weng K, Su M, Huang P, Martin KA, Hwa J, Tang WH.","Circ Res. 2020 Sep 11;127(7):855-873. doi: 10.1161/CIRCRESAHA.120.316951. Epub 2020 Jun 29.","Zhang Y","Circ Res","2020","2020/06/30","PMC7486265","NIHMS1608282","10.1161/CIRCRESAHA.120.316951"
"32847388","Aging-Associated miR-217 Aggravates Atherosclerosis and Promotes Cardiovascular Dysfunction","de Yébenes VG, Briones AM, Martos-Folgado I, Mur SM, Oller J, Bilal F, González-Amor M, Méndez-Barbero N, Silla-Castro JC, Were F, Jiménez-Borreguero LJ, Sánchez-Cabo F, Bueno H, Salaices M, Redondo JM, Ramiro AR.","Arterioscler Thromb Vasc Biol. 2020 Oct;40(10):2408-2424. doi: 10.1161/ATVBAHA.120.314333. Epub 2020 Aug 27.","de Yébenes VG","Arterioscler Thromb Vasc Biol","2020","2020/08/28","PMC7505150","","10.1161/ATVBAHA.120.314333"
"36743388","Identification of Potential Biomarkers for Coronary Artery Disease Based on Cuproptosis","Zhang B, He M.","Cardiovasc Ther. 2023 Jan 25;2023:5996144. doi: 10.1155/2023/5996144. eCollection 2023.","Zhang B","Cardiovasc Ther","2023","2023/02/06","PMC9891837","","10.1155/2023/5996144"
